,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.ncbi.nlm.nih.gov/gene/?term=,,,"Enter below the search word(s) contained in column E, gene description--current count for T cells is 9",,,,,,,,,,,,,,X11249_average counts,X11250_average counts,X11251_average counts,X11253_average counts,X11257_average counts,X11258_average counts,X11247_average counts,X11248_average counts,X11252_average counts,X11254_average counts,X11255_average counts,X11256_average counts,,,,,,0.05,2,-2
2210403K04Rik,2210403K04Rik,0,#N/A,#N/A,,#N/A,#N/A, 1.26 ,1,1.26,4.772491305,0.257604987,0.604774488,0.42595214,0.6701,0.99974,1,1.20, 2.6 , 2.5 , 2.3 , 5.5 , 8.1 , 10.8 , 5.7 , 4.2 , 3.1 , 6.2 , 3.1 , 3.0 ,,,,,,,,
Nploc4,Nploc4,217365,"AK129375, Npl4, mKIAA1499","NPL4 homolog, ubiquitin recognition factor",,11_120379798_120437700,18, 0.92 ,1,-1.08,30.68275916,-0.116339336,0.273132787,-0.425944236,0.6701,0.99974,1,-1.08, 37.4 , 25.3 , 28.7 , 24.0 , 29.1 , 32.3 , 30.9 , 35.8 , 23.4 , 41.5 , 26.7 , 33.2 ,,,,,,,,
Raf1,Raf1,110157,"6430402F14Rik, AA990557, BB129353, Craf1, D830050J10Rik, Raf-1, c-Raf, v-Raf",v-raf-leukemia viral oncogene 1,,6_115618573_115676635,19, 0.92 ,1,-1.08,48.30785727,-0.123280236,0.289483449,-0.425862814,0.6702,0.99974,1,-1.09, 39.1 , 32.8 , 57.4 , 46.9 , 66.3 , 35.9 , 81.0 , 53.4 , 35.8 , 47.7 , 33.6 , 49.8 ,,,,,,,,
Cd180,Cd180,17079,"F630107B15, Ly78, RP105",CD180 antigen,,13_102693558_102706631,3, 0.52 ,2,-1.92,1.392574732,-0.550153655,1.291901597,-0.425847956,0.6702,0.99974,1,-1.46, 0.9 , -   , -   , 3.7 , 1.2 , -   , 1.4 , -   , 7.8 , 1.0 , 0.8 , -   ,,,,,,,,
Fbxw2,Fbxw2,30050,"2700071L08Rik, FBW2, Fwd2, MD6",F-box and WD-40 domain protein 2,,2_34804364_34826274,8, 0.92 ,1,-1.09,3186.966392,-0.119900948,0.281615563,-0.425761086,0.6703,0.99974,1,-1.09," 3,654.8 "," 3,244.7 "," 1,923.5 "," 3,854.7 "," 1,972.2 "," 3,676.3 "," 1,345.1 "," 3,457.4 "," 2,529.2 "," 4,860.2 "," 4,098.0 "," 3,627.4 ",,,,,,,,
1190007F08Rik,1190007F08Rik,0,#N/A,#N/A,,#N/A,#N/A, 0.91 ,1,-1.10,187.7647172,-0.137088655,0.321986003,-0.425759672,0.6703,0.99974,1,-1.10, 251.3 , 207.1 , 106.7 , 236.1 , 104.7 , 165.1 , 81.8 , 140.8 , 137.1 , 298.5 , 276.2 , 247.7 ,,,,,,,,
Serpina3b,Serpina3b,271047,"6A1, A030003A19Rik","serine (or cysteine) peptidase inhibitor, clade A, member 3B",,12_104127531_104139546,6, 0.67 ,1,-1.49,1.579497485,-0.483868432,1.136770878,-0.425651678,0.6704,0.99974,1,-1.40, -   , -   , 4.6 , 1.8 , 1.2 , -   , 1.4 , 3.0 , 3.1 , -   , 3.8 , -   ,,,,,,,,
Tor1aip2,Tor1aip2,240832,"1110020D10Rik, 15kDa, A130072J07, AA103493, AW060462, AW610675, C77739, Ifrg15, Lull1",torsin A interacting protein 2,,1_156035664_156068861,9, 1.08 ,1,1.08,71.34637978,0.106073444,0.249215033,0.4256302,0.6704,0.99974,1,1.08, 90.4 , 101.0 , 66.5 , 40.7 , 80.3 , 66.4 , 54.6 , 60.7 , 68.6 , 85.0 , 71.0 , 71.0 ,,,,,,,,
Cerk,Cerk,223753,"AI848610, D330016D08Rik, mKIAA1646",ceramide kinase,,15_86139101_86186336,14, 0.90 ,1,-1.12,43.56010446,-0.164159718,0.385855794,-0.425443185,0.6705,0.99974,1,-1.12, 27.0 , 40.4 , 75.7 , 33.9 , 59.3 , 10.8 , 70.9 , 63.1 , 48.3 , 22.8 , 26.7 , 43.8 ,,,,,,,,
Aco2,Aco2,11429,"Aco-2, Aco3, D10Wsu183e","aconitase 2, mitochondrial",,15_81872463_81915137,18, 1.09 ,1,1.09,105.3701921,0.123638927,0.29073679,0.425260687,0.6706,0.99974,1,1.09, 52.2 , 106.1 , 119.3 , 106.0 , 159.4 , 116.7 , 126.4 , 98.3 , 162.1 , 86.0 , 58.0 , 74.0 ,,,,,,,,
Cnnm2,Cnnm2,94219,"AU015877, AW048635, Acdp2, Clp2",cyclin M2,,19_46761564_46878580,10, 0.86 ,1,-1.16,15.22959194,-0.207624296,0.488267057,-0.425226919,0.6707,0.99974,1,-1.15, 5.2 , 20.2 , 25.2 , 8.6 , 16.3 , 9.0 , 9.9 , 18.2 , 9.4 , 9.3 , 9.2 , 42.3 ,,,,,,,,
Rragd,Rragd,52187,"5730543C08Rik, AI467523, C030003H22Rik, D4Ertd174e",Ras-related GTP binding D,,4_32982998_33022180,7, 1.07 ,1,1.07,102.695069,0.099717679,0.234510528,0.425216217,0.6707,0.99974,1,1.07, 116.5 , 90.9 , 81.4 , 81.4 , 101.2 , 165.1 , 87.9 , 86.2 , 104.4 , 82.9 , 95.4 , 138.9 ,,,,,,,,
Adprhl2,Adprhl2,100206,"AI836109, Arh3",ADP-ribosylhydrolase like 2,,4_126316351_126321703,6, 1.11 ,1,1.11,21.90206551,0.164161335,0.386128027,0.425147421,0.6707,0.99974,1,1.12, 12.2 , 15.2 , 37.9 , 20.3 , 31.4 , 21.5 , 22.7 , 14.6 , 23.4 , 39.4 , 13.7 , 10.6 ,,,,,,,,
Rpl35,Rpl35,66489,2410039E09Rik,ribosomal protein L35,,2_39001581_39005131,4, 1.06 ,1,1.06,7827.80109,0.085015848,0.20014223,0.42477716,0.6710,0.99974,1,1.06," 8,767.1 "," 7,645.9 "," 6,137.6 "," 8,140.9 "," 7,366.2 "," 10,289.4 "," 4,588.5 "," 6,919.7 "," 7,547.1 "," 8,572.0 "," 9,008.5 "," 8,950.7 ",,,,,,,,
Srm,Srm,20810,"AA407669, SpdST, SpdSy",spermidine synthase,,4_148591513_148594619,7, 1.43 ,1,1.43,0.998876864,0.577922976,1.362291405,0.4242286,0.6714,0.99974,1,1.49, -   , -   , 1.1 , 0.6 , 3.5 , 1.8 , 1.2 , 0.6 , 3.1 , -   , -   , -   ,,,,,,,,
Aldh4a1,Aldh4a1,212647,"A930035F14Rik, Ahd-1, Ahd1, Aldh4, Aldh5a1, E330022C09, P5cd, P5cdh, P5cdhl, P5cdhs, Ssdh1","aldehyde dehydrogenase 4 family, member A1",,4_139622871_139649691,16, 1.23 ,1,1.23,9.729271092,0.258317366,0.609070785,0.424117151,0.6715,0.99974,1,1.20, 18.3 , 15.2 , 11.5 , 4.3 , 11.6 , 3.6 , 18.6 , 8.5 , 10.9 , -   , 2.3 , 12.1 ,,,,,,,,
Ptk2,Ptk2,14083,"FAK, FRNK, Fadk, mKIAA4203, p125FAK",PTK2 protein tyrosine kinase 2,,15_73205102_73423275,41, 1.31 ,1,1.31,1.185698811,0.462942944,1.091643843,0.424078739,0.6715,0.99974,1,1.38, 0.9 , -   , 1.1 , 3.1 , 1.2 , 1.8 , 1.0 , 1.8 , -   , 1.0 , 0.8 , 1.5 ,,,,,,,,
Vaultrc5,Vaultrc5,378472,"Gm22653, Mvg1",vault RNA component 5,,18_36801763_36802107,1, 1.36 ,1,1.36,0.979215018,0.626472235,1.477286501,0.424069559,0.6715,0.99974,2,1.54, 0.9 , -   , 3.4 , 2.5 , -   , -   , -   , 2.4 , -   , 1.0 , -   , 1.5 ,,,,,,,,
Lrrc23,Lrrc23,16977,"4921537K05Rik, B7, Lrpb7",leucine rich repeat containing 23,,6_124769869_124780339,11, 1.46 ,1,1.46,0.532954849,0.709413861,1.673100683,0.424011459,0.6716,0.99974,2,1.64, 0.9 , -   , 1.1 , 0.6 , 1.2 , -   , 1.0 , -   , 1.6 , -   , -   , -   ,,,,,,,,
D930028M14Rik,D930028M14Rik,434147,EG434147,RIKEN cDNA D930028M14 gene,,7_25152457_25156630,4, 0.85 ,1,-1.17,5.842978168,-0.315530694,0.744170542,-0.424003204,0.6716,0.99974,1,-1.24, 8.7 , 15.2 , -   , 1.2 , -   , 7.2 , 2.9 , 3.0 , 6.2 , 5.2 , 6.9 , 13.6 ,,,,,,,,
Cln8,Cln8,26889,mnd,"ceroid-lipofuscinosis, neuronal 8",,8_14881335_14901720,5, 1.08 ,1,1.08,728.8122543,0.105920973,0.24990378,0.423847022,0.6717,0.99974,1,1.08, 860.9 ," 1,053.0 ", 527.6 , 708.4 , 542.2 , 841.9 , 371.1 , 699.0 , 554.8 , 746.3 , 848.4 , 992.2 ,,,,,,,,
Hmgb2,Hmgb2,97165,"C80539, HMG-2, Hmg2",high mobility group box 2,,8_57511843_57515999,5, 1.11 ,1,1.11,47.222609,0.158220257,0.373401074,0.423727374,0.6718,0.99974,1,1.12, 44.3 , 68.2 , 74.6 , 25.3 , 55.8 , 30.5 , 55.3 , 35.8 , 88.8 , 25.9 , 16.8 , 45.3 ,,,,,,,,
Gm5150,Gm5150,381484,0,predicted gene 5150,,3_15946871_16006371,7, 0.89 ,1,-1.12,29.9068202,-0.136266935,0.321670326,-0.423622959,0.6718,0.99974,1,-1.10, 44.3 , 20.2 , 26.4 , 24.0 , 36.1 , 18.0 , 32.8 , 35.8 , 34.3 , 44.6 , 16.8 , 25.7 ,,,,,,,,
Haus4,Haus4,219072,"9430093H08Rik, AU016300, D14Ertd500e","HAUS augmin-like complex, subunit 4",,14_54541785_54554361,12, 0.90 ,1,-1.11,20.28605829,-0.165822877,0.391480201,-0.423579216,0.6719,0.99974,1,-1.12, 13.0 , 27.8 , 17.2 , 22.8 , 18.6 , 16.2 , 34.2 , 12.1 , 39.0 , 14.5 , 11.4 , 16.6 ,,,,,,,,
Bcr,Bcr,110279,"5133400C09Rik, AI561783, AI853148, mKIAA3017",breakpoint cluster region,,10_75060896_75184923,25, 0.58 ,2,-1.72,1.038572916,-0.689107369,1.626929869,-0.423563045,0.6719,0.99974,2,-1.61, -   , -   , 4.6 , -   , -   , -   , 1.2 , 3.6 , -   , -   , -   , 3.0 ,,,,,,,,
Mysm1,Mysm1,320713,"C130067A03Rik, C530050H10Rik","myb-like, SWIRM and MPN domains 1",,4_94942037_94979112,21, 0.65 ,2,-1.55,1.057496662,-0.597576735,1.410904408,-0.423541618,0.6719,0.99974,2,-1.51, 0.9 , -   , -   , 0.6 , 3.5 , -   , 1.9 , 4.2 , 1.6 , -   , -   , -   ,,,,,,,,
Cmtm6,Cmtm6,67213,"2810051A14Rik, AA536733, Cklfsf6",CKLF-like MARVEL transmembrane domain containing 6,,9_114731157_114749347,4, 0.95 ,1,-1.06,267.1555374,-0.06855791,0.161880949,-0.423508208,0.6719,0.99974,1,-1.05, 303.5 , 217.2 , 263.8 , 294.1 , 245.5 , 235.2 , 252.8 , 259.1 , 266.5 , 299.6 , 304.4 , 264.3 ,,,,,,,,
Ddx56,Ddx56,52513,"2600001H07Rik, D11Ertd619e, Noh61",DEAD (Asp-Glu-Ala-Asp) box polypeptide 56,,11_6257545_6268391,14, 1.17 ,1,1.17,19.36884426,0.232522422,0.549199115,0.423384553,0.6720,0.99974,1,1.17, 26.1 , 10.1 , 17.2 , 16.6 , 50.0 , 5.4 , 38.3 , 18.8 , 32.7 , 7.3 , 3.8 , 6.0 ,,,,,,,,
Parp16,Parp16,214424,"ARTD15, BC055447, C79952, PARP-16","poly (ADP-ribose) polymerase family, member 16",,9_65214379_65239220,8, 1.20 ,1,1.20,4.10158886,0.288643438,0.682006687,0.423226698,0.6721,0.99974,1,1.22, 7.0 , 2.5 , 5.7 , 8.0 , -   , 3.6 , 4.5 , 6.7 , 1.6 , 2.1 , 3.1 , 4.5 ,,,,,,,,
Pdcd2l,Pdcd2l,68079,6030457N17Rik,programmed cell death 2-like,,7_34184497_34196693,8, 0.89 ,1,-1.13,64.40562891,-0.171397636,0.405070966,-0.423129896,0.6722,0.99974,1,-1.13, 89.6 , 90.9 , 10.3 , 102.3 , 29.1 , 41.3 , 46.6 , 75.2 , 48.3 , 101.6 , 87.7 , 49.8 ,,,,,,,,
4930528F23Rik,4930528F23Rik,0,#N/A,#N/A,,#N/A,#N/A, 0.86 ,1,-1.16,10.76412204,-0.241416809,0.570627553,-0.423072471,0.6722,0.99974,1,-1.18, 5.2 , 15.2 , 3.4 , 12.3 , 12.8 , 10.8 , 2.1 , 11.5 , 3.1 , 12.4 , 26.7 , 13.6 ,,,,,,,,
Map3k2,Map3k2,26405,"9630061B06Rik, AI585793, Mekk2, Mekk2b",mitogen-activated protein kinase kinase kinase 2,,18_32163089_32236751,17, 0.80 ,1,-1.25,2.077270909,-0.382291768,0.903678291,-0.423039673,0.6723,0.99974,1,-1.30, 4.3 , 2.5 , -   , 1.2 , 1.2 , 1.8 , 1.7 , 5.5 , 1.6 , 2.1 , 1.5 , 1.5 ,,,,,,,,
Pskh1,Pskh1,244631,"AW539964, E130013P03Rik, b2b1230Clo",protein serine kinase H1,,8_105900474_105931802,3, 1.32 ,1,1.32,7.713511006,0.259619253,0.613837694,0.42294446,0.6723,0.99974,1,1.20, 9.6 , 22.7 , 2.3 , 9.9 , 4.7 , 3.6 , 12.5 , 7.3 , 3.1 , 12.4 , 1.5 , 3.0 ,,,,,,,,
Ift27,Ift27,67042,"2600013G09Rik, Rabl4",intraflagellar transport 27,,15_78159463_78174108,7, 0.80 ,1,-1.25,8.828072342,-0.229643136,0.54303382,-0.422889197,0.6724,0.99974,1,-1.17, 16.5 , 5.1 , 11.5 , 10.5 , 3.5 , -   , 7.8 , 7.3 , 4.7 , 18.7 , 11.4 , 9.1 ,,,,,,,,
Hormad2,Hormad2,75828,4930529M09Rik,HORMA domain containing 2,,11_4345801_4441425,15, 0.68 ,1,-1.48,1.316541567,-0.531335077,1.256577147,-0.42284318,0.6724,0.99974,1,-1.45, -   , -   , 4.6 , 0.6 , 1.2 , -   , 0.9 , 2.4 , 1.6 , -   , 4.6 , -   ,,,,,,,,
Esco1,Esco1,77805,A930014I12Rik,establishment of sister chromatid cohesion N-acetyltransferase 1,,18_10566507_10610360,11, 1.15 ,1,1.15,10.04230185,0.18340102,0.433736708,0.422839517,0.6724,0.99974,1,1.14, 15.7 , 15.2 , 4.6 , 6.8 , 11.6 , 10.8 , 9.7 , 8.5 , 12.5 , 9.3 , 6.9 , 9.1 ,,,,,,,,
Inpp5b,Inpp5b,16330,"5PTase, AW260155, INPP5P",inositol polyphosphate-5-phosphatase B,,4_124741827_124801511,26, 1.15 ,1,1.15,19.56569736,0.193885681,0.458649882,0.422731344,0.6725,0.99974,1,1.14, 13.9 , 5.1 , 47.0 , 24.7 , 18.6 , 16.2 , 35.5 , 14.0 , 9.4 , 7.3 , 20.6 , 22.7 ,,,,,,,,
1700020O03Rik,1700020O03Rik,0,#N/A,#N/A,,#N/A,#N/A, 0.82 ,1,-1.22,6.422588604,-0.228021381,0.539437536,-0.422702102,0.6725,0.99974,1,-1.17, 7.8 , 2.5 , 5.7 , 6.8 , 4.7 , 7.2 , 6.9 , 9.7 , 7.8 , 10.4 , 1.5 , 6.0 ,,,,,,,,
Nf1,Nf1,18015,"AW494271, Dsk9, E030030H24Rik, Mhdadsk9, Nf-1",neurofibromin 1,,11_79338389_79581609,59, 1.49 ,1,1.49,0.593337893,0.728666559,1.724433537,0.422554157,0.6726,0.99974,2,1.66, -   , -   , -   , 2.5 , -   , 1.8 , 0.7 , 0.6 , 1.6 , -   , -   , -   ,,,,,,,,
Rnaseh1,Rnaseh1,19819,0,ribonuclease H1,,12_28649601_28659592,8, 0.84 ,1,-1.19,11.89008041,-0.185963018,0.440225304,-0.422426916,0.6727,0.99974,1,-1.14, 20.9 , 2.5 , 14.9 , 9.9 , 11.6 , 5.4 , 15.6 , 13.3 , 17.1 , 9.3 , 16.0 , 6.0 ,,,,,,,,
Tnfrsf1b,Tnfrsf1b,21938,"CD120b, TNF-R-II, TNF-R2, TNF-R75, TNF-alphaR2, TNFBR, TNFR80, TNFRII, TNFalpha-R2, Tnfr-1, Tnfr2, p75","tumor necrosis factor receptor superfamily, member 1b",,4_145212368_145246870,10, 0.93 ,1,-1.08,25.45084445,-0.193054512,0.457156765,-0.422293898,0.6728,0.99974,1,-1.14, 16.5 , 37.9 , 24.1 , 10.5 , 38.4 , 19.7 , 72.8 , 22.5 , 15.6 , 15.5 , 16.8 , 15.1 ,,,,,,,,
Anapc11,Anapc11,66156,"1110011I19Rik, R75218",anaphase promoting complex subunit 11,,11_120598421_120608198,3, 0.63 ,2,-1.58,1.410148879,-0.51924108,1.229902338,-0.422180741,0.6729,0.99974,1,-1.43, 3.5 , -   , -   , 3.1 , -   , -   , 1.9 , 4.9 , -   , 2.1 , 1.5 , -   ,,,,,,,,
Gm10012,Gm10012,100043160,0,predicted pseudogene 10012,,17_25901856_25902227,1, 1.45 ,1,1.45,0.839474902,0.635717912,1.505819178,0.422174137,0.6729,0.99974,2,1.55, -   , -   , 1.1 , 1.2 , -   , 3.6 , 0.5 , -   , -   , 2.1 , -   , 1.5 ,,,,,,,,
Ralbp1,Ralbp1,19765,"RLIP76, Rip1",ralA binding protein 1,,17_65848415_65885755,11, 1.18 ,1,1.18,162.4879855,0.236570694,0.56040658,0.422141178,0.6729,0.99974,1,1.18, 133.9 , 146.5 , 312.0 , 49.9 , 256.0 , 156.2 , 210.2 , 131.7 , 370.9 , 52.9 , 67.9 , 61.9 ,,,,,,,,
Cd300e,Cd300e,217306,"BC034097, CLM2, Cd300le, TREM5",CD300E molecule,,11_115051917_115066676,5, 0.91 ,1,-1.10,65.89023773,-0.133499601,0.316357977,-0.421989047,0.6730,0.99974,1,-1.10, 51.3 , 40.4 , 80.3 , 67.2 , 89.6 , 48.5 , 96.6 , 105.6 , 79.5 , 61.2 , 38.9 , 31.7 ,,,,,,,,
Tmem8,Tmem8,60455,"AW490096, M83a, Tmem8",transmembrane protein 8 (five membrane-spanning domains),,17_26112691_26123254,12, 1.69 ,2,1.69,0.689619825,0.765283186,1.813766774,0.421930314,0.6731,0.99974,2,1.70, -   , -   , 4.6 , 0.6 , -   , -   , 1.6 , -   , -   , -   , -   , 1.5 ,,,,,,,,
Rrp8,Rrp8,101867,"1500003O22Rik, 2900001K19Rik, AW538116","ribosomal RNA processing 8, methyltransferase, homolog (yeast)",,7_105731730_105737385,8, 0.82 ,1,-1.22,4.650429849,-0.313900161,0.743966491,-0.421927822,0.6731,0.99974,1,-1.24, 3.5 , 7.6 , 9.2 , 4.9 , -   , -   , 8.0 , 3.0 , 10.9 , 4.1 , 4.6 , -   ,,,,,,,,
Etnk1,Etnk1,75320,"1110061E11Rik, 4930555L11Rik, AI195356, AI841245, C80956, D6Ertd3e, EKI1",ethanolamine kinase 1,,6_143166866_143208546,10, 1.08 ,1,1.08,37.15976186,0.126322733,0.299513045,0.421760371,0.6732,0.99974,1,1.09, 34.8 , 50.5 , 44.7 , 25.9 , 48.9 , 26.9 , 29.0 , 25.5 , 62.3 , 32.1 , 35.1 , 30.2 ,,,,,,,,
Zkscan14,Zkscan14,67235,"2310046C23Rik, 2810437E14Rik, Zfp99, Znf394",zinc finger with KRAB and SCAN domains 14,,5_145194946_145204167,4, 1.09 ,1,1.09,29.6312712,0.123598913,0.293155789,0.421615121,0.6733,0.99974,1,1.09, 46.1 , 27.8 , 33.3 , 32.1 , 17.5 , 28.7 , 30.5 , 29.7 , 20.3 , 25.9 , 35.1 , 28.7 ,,,,,,,,
Nceh1,Nceh1,320024,"Aadacl1, B230106I24Rik, CPO-BP, Nceh",neutral cholesterol ester hydrolase 1,,3_27183004_27245266,6, 1.14 ,1,1.14,2.683696599,0.333499604,0.791171062,0.421526545,0.6734,0.99974,1,1.26, 1.7 , 2.5 , 5.7 , 3.7 , 3.5 , -   , 1.2 , 1.2 , 3.1 , 4.1 , 3.8 , 1.5 ,,,,,,,,
Tprgl,Tprgl,67808,"1200015A19Rik, Svap30, Tprg1l, mover",transformation related protein 63 regulated like,,4_154157485_154160709,4, 1.07 ,1,1.07,2372.159905,0.094590009,0.224401708,0.421520897,0.6734,0.99974,1,1.07," 2,747.9 "," 2,598.3 "," 1,851.3 "," 2,543.3 "," 1,968.7 "," 2,988.8 "," 1,294.5 "," 2,128.0 "," 1,888.7 "," 2,424.4 "," 3,188.5 "," 2,843.6 ",,,,,,,,
Parl,Parl,381038,"D16Ertd607e, PRO2207, PSARL1, PSENIP2, Psarl","presenilin associated, rhomboid-like",,16_20279820_20302395,10, 1.08 ,1,1.08,67.64494741,0.103582781,0.24577898,0.421446867,0.6734,0.99974,1,1.07, 55.7 , 70.7 , 60.8 , 62.9 , 83.8 , 88.0 , 78.9 , 66.1 , 88.8 , 47.7 , 43.5 , 64.9 ,,,,,,,,
Haus8,Haus8,76478,"2410004L22Rik, Hice1","4HAUS augmin-like complex, subunit 8",,8_71251124_71272590,11, 1.09 ,1,1.09,73.66655997,0.12253455,0.290870513,0.421268379,0.6736,0.99974,1,1.09, 73.9 , 68.2 , 98.6 , 68.4 , 72.1 , 79.0 , 99.7 , 60.1 , 123.1 , 52.9 , 35.1 , 52.9 ,,,,,,,,
Trim58,Trim58,216781,"Gm16, Gm1783",tripartite motif-containing 58,,11_58640465_58652404,6, 0.93 ,1,-1.08,247.6431875,-0.102333305,0.243053332,-0.421032307,0.6737,0.99974,1,-1.07, 255.7 , 232.3 , 178.9 , 276.2 , 230.4 , 254.9 , 116.2 , 226.9 , 300.8 , 324.4 , 257.9 , 317.1 ,,,,,,,,
Qars,Qars,97541,"1110018N24Rik, 1200016L19Rik, C80286, GLNRS",glutaminyl-tRNA synthetase,,9_108508005_108515941,24, 1.06 ,1,1.06,162.1362121,0.080265755,0.190654105,0.421001975,0.6738,0.99974,1,1.06, 167.0 , 146.5 , 184.7 , 156.0 , 189.7 , 158.0 , 205.1 , 171.7 , 165.2 , 146.1 , 124.4 , 131.4 ,,,,,,,,
Gars,Gars,353172,"GENA202, Gena201, Nmf249, Sgrp23",glycyl-tRNA synthetase,,6_55038001_55079504,17, 1.14 ,1,1.14,56.92845801,0.165331977,0.39277773,0.420930121,0.6738,0.99974,1,1.12, 42.6 , 75.8 , 82.6 , 31.4 , 88.4 , 43.1 , 110.8 , 47.3 , 73.2 , 16.6 , 29.0 , 42.3 ,,,,,,,,
G6pc3,G6pc3,68401,"0710001K01Rik, AU019276, AU045429, AV128920, AW545836, UGRP","glucose 6 phosphatase, catalytic, 3",,11_102189699_102194081,6, 0.85 ,1,-1.18,9.891257681,-0.218592914,0.519500721,-0.420774996,0.6739,0.99974,1,-1.16, 14.8 , 2.5 , 14.9 , 8.0 , 7.0 , 7.2 , 16.1 , 3.6 , 10.9 , 6.2 , 21.4 , 6.0 ,,,,,,,,
2700089E24Rik,2700089E24Rik,0,#N/A,#N/A,,#N/A,#N/A, 1.45 ,1,1.45,3.225873474,0.353885874,0.841815491,0.420384132,0.6742,0.99974,1,1.28, 2.6 , 5.1 , 3.4 , 1.2 , 7.0 , 3.6 , 3.1 , 9.1 , -   , 2.1 , -   , 1.5 ,,,,,,,,
Uba7,Uba7,74153,"1300004C08Rik, Ube1l",ubiquitin-like modifier activating enzyme 7,,9_107975567_107984056,24, 0.93 ,1,-1.07,591.0895737,-0.100599278,0.239430685,-0.420160341,0.6744,0.99974,1,-1.07, 641.7 , 588.3 , 636.6 , 587.6 , 373.5 , 594.2 , 326.0 , 597.7 , 537.6 , 629.2 , 976.6 , 604.1 ,,,,,,,,
Ift52,Ift52,245866,"BC037708, NGD5",intraflagellar transport 52,,2_163017293_163046155,13, 1.24 ,1,1.24,10.15966845,0.202570379,0.48220946,0.420087941,0.6744,0.99974,1,1.15, 7.8 , 20.2 , 9.2 , 6.8 , 12.8 , 10.8 , 11.6 , 15.8 , 10.9 , 6.2 , 2.3 , 7.6 ,,,,,,,,
Txnrd1,Txnrd1,50493,"TR, TR1, TrxR1",thioredoxin reductase 1,,10_82833951_82897724,17, 0.69 ,1,-1.46,2.136659355,-0.427572336,1.017836269,-0.420079681,0.6744,0.99974,1,-1.34, -   , -   , 6.9 , 1.2 , 2.3 , -   , 2.4 , 1.8 , -   , 4.1 , 0.8 , 6.0 ,,,,,,,,
Uhmk1,Uhmk1,16589,"4732477C12Rik, 4930500M09Rik, AA673513, AI449218, AU021979, C820018A03Rik, KIS, Kist, P-CIP2",U2AF homology motif (UHM) kinase 1,,1_170199256_170215435,8, 1.13 ,1,1.13,7.584794088,0.282288789,0.672069918,0.420028901,0.6745,0.99974,1,1.22, 6.1 , -   , 2.3 , 23.4 , 9.3 , 7.2 , 2.4 , 6.1 , 3.1 , 19.7 , 8.4 , 3.0 ,,,,,,,,
Tusc1,Tusc1,69136,"2200001D17Rik, TSG-9",tumor suppressor candidate 1,,4_93334148_93335511,1, 0.90 ,1,-1.11,38.44013106,-0.140728571,0.335056525,-0.420014418,0.6745,0.99974,1,-1.10, 33.9 , 30.3 , 25.2 , 35.1 , 31.4 , 62.8 , 19.6 , 41.3 , 23.4 , 61.2 , 39.7 , 57.4 ,,,,,,,,
Hist1h4a,Hist1h4a,326619,0,"histone cluster 1, H4a",,13_23760795_23761249,1, 1.23 ,1,1.23,6.79802781,0.253583332,0.603846643,0.41994658,0.6745,0.99974,1,1.19, 10.4 , 10.1 , 3.4 , 6.8 , 3.5 , 10.8 , 1.9 , 11.5 , 1.6 , 12.4 , 6.1 , 3.0 ,,,,,,,,
Khsrp,Khsrp,16549,"6330409F21Rik, Fbp2, Fubp2, Ksrp",KH-type splicing regulatory protein,,17_57021049_57031507,18, 2.05 ,2,2.05,0.984701935,0.574013983,1.368231854,0.419529761,0.6748,0.99974,1,1.49, 1.7 , 5.1 , 1.1 , -   , -   , -   , 0.9 , 1.2 , -   , 1.0 , 0.8 , -   ,,,,,,,,
Srgn,Srgn,19073,"Prg, Prg1, Sgc",serglycin,,10_62494427_62529189,7, 1.06 ,1,1.06,3603.22634,0.083183465,0.198280198,0.419524821,0.6748,0.99974,1,1.06," 2,955.7 "," 4,090.6 "," 4,357.5 "," 3,432.3 "," 3,281.1 "," 4,123.3 "," 2,039.0 "," 3,255.4 "," 4,004.9 "," 3,633.0 "," 4,024.7 "," 4,041.2 ",,,,,,,,
Asb3,Asb3,65257,"2400011J03Rik, Asb-3",ankyrin repeat and SOCS box-containing 3,,11_30954222_31102704,11, 1.05 ,1,1.05,90.10074568,0.087737939,0.209169665,0.419458237,0.6749,0.99974,1,1.06, 97.4 , 90.9 , 82.6 , 113.4 , 73.3 , 96.9 , 65.7 , 94.1 , 91.9 , 99.5 , 96.9 , 78.5 ,,,,,,,,
Ddx54,Ddx54,71990,"2410015A15Rik, AI414901, DP97",DEAD (Asp-Glu-Ala-Asp) box polypeptide 54,,5_120613107_120628592,20, 0.89 ,1,-1.12,15.89884643,-0.205010263,0.489111634,-0.419148204,0.6751,0.99974,1,-1.15, 18.3 , 7.6 , 18.4 , 9.2 , 25.6 , 10.8 , 42.8 , 15.8 , 18.7 , 6.2 , 8.4 , 9.1 ,,,,,,,,
Rpl22l1,Rpl22l1,68028,"3110001N18Rik, AU041196",ribosomal protein L22 like 1,,3_28805444_28807424,4, 0.93 ,1,-1.08,921.4910217,-0.106154847,0.25329181,-0.419100984,0.6751,0.99974,1,-1.08, 823.5 , 957.0 , 570.1 ," 1,193.0 ", 826.1 , 953.2 , 455.4 , 780.3 , 866.4 ," 1,344.4 "," 1,155.9 "," 1,132.6 ",,,,,,,,
